__sheet__,__page__,#,מה נדרש ממך,בחירה,מילוי,הערות אייל,סטטוס סעיף,הכרעה נדרשת מ,סיווג,הסעיף,סקשן אצל אייל,הכשל,התוכן הדרוש,התיקון,נתיב קוד,קישור,אפשרויות לבחירה,הערות סוכן,הערות נימרוד,תאריך הכרעה
עמוד · טיפול בדיג'רידו,R1-02,T-04,—,,,,בוצע,—,ברור,מה זה — בלי פסקת 1999 שהומצאה,SECTION 03,פסקה ותג כתום על «מאז 1999» שלא במסמך הסקשן.,SECTION 03 ככתבו. 1999 נשאר ב-SECTION 11.,הדבקה מילה-במילה.,treatment-defaults.php SECTION 03,,,בוצע 17.8.26.,,
עמוד · טיפול בדיג'רידו,R1-02,T-05,—,,,,בוצע,—,ברור,למי מתאים — רשימה כתובה,SECTION 04,חסרו שני סעיפים; היו כרטיסי תמונה.,הרשימה מ-SECTION 04 כולל עייפות ומחלה.,החלפה לרשימה כתובה.,treatment-defaults.php SECTION 04,,,בוצע 17.8.26. כרטיסי התמונה ירדו.,,
עמוד · טיפול בדיג'רידו,R1-02,T-06,—,,,,בוצע,—,ברור,קישורי פייסבוק על שמות ממליצים,SECTION 08,13 שמות בלי קישור לפוסט.,הכתובות מ-SECTION 08.,href על כל שם.,treatment-defaults.php SECTION 08,,,בוצע 17.8.26. נוסח דן נשאר הקצר שבמסמך העמוד.,,
עמוד · השיטה,R1-03,MTH-01,בתמונת ההירו (ובתמונה ליד «מהי השיטה») אין קובץ במסמך. בחרי מה לעשות.,,,,ממתין לאייל,אייל,לא ברור,תמונות העמוד,SECTION 01 · SECTION 02,המסמך מבקש תמונת רקע חזקה בלי לציין קובץ. כרגע נשארו תמונות שכבר היו באתר.,להשאיר / להחליף (קישור או שם קובץ במילוי) / בלי תמונה.,לפי הבחירה.,method-defaults.php phero + split,http://eyalamit-co-il-2026.s887.upress.link/method/,"להשאיר את התמונות הקיימות. להחליף — הדביקו קישור או שם קובץ בעמודת מילוי. בלי תמונה — הטקסט נשאר, התמונות יורדות.",מדיה בלי קובץ מאייל = לא ברור. לא הומצאה תמונה חדשה.,,
עמוד · השיטה,R1-03,MTH-02,—,,,,בוצע,—,ברור,הסרת פסקת circular-breathing וקופסת ממתין-לאישור,SECTION 02,פסקה שהומצאה + קופסת WP-S4-07 שלא במסמך.,SECTION 02 ככתבו.,הדבקה מילה-במילה. הקופסה ירדה.,method-defaults.php SECTION 02,,,בוצע 17.8.26.,,
עמוד · השיטה,R1-03,MTH-03,—,,,,בוצע,—,ברור,14 סקשנים כבלוקים נפרדים,SECTION 01–14,סקשנים 02/03/05/07/08/10/12/13 היו דחוסים ל-split_body.,כל סקשן במסמך כבלוק משלו.,phero + sections[] כמו /treatment/.,method-defaults.php · tpl-chapters-method.php,,,בוצע 17.8.26. רצועת bleed שהומצאה ירדה.,,
עמוד · השיטה,R1-03,MTH-04,—,,,,בוצע,—,ברור,למי מתאים — רשימה כתובה,SECTION 09,כרטיסי תמונה עם כותרות שהומצאו; חסר «פתרון קסם».,חמש הפסקאות מ-SECTION 09.,החלפה לרשימה כתובה.,method-defaults.php SECTION 09,,,בוצע 17.8.26.,,
עמוד · השיטה,R1-03,MTH-05,—,,,,בוצע,—,ברור,שאלות נפוצות — 7 מהמסמך,SECTION 11,אקורדיון CPT עם שתי שאלות שלא במסמך העמוד.,שבע השאלות מ-SECTION 11 כולל קישורי בלוג/BMJ/FAQ.,"faq-inline, בלי לגעת ב-block-faq-list.php.",method-defaults.php SECTION 11,,,בוצע 17.8.26.,,
עמוד · השיטה,R1-03,MTH-06,—,,,,בוצע,—,ברור,קישורי פייסבוק על שמונה ממליצים,SECTION 12,שמות בלי href.,שמונה הכתובות מ-SECTION 12.,href על כל שם.,method-defaults.php SECTION 12,,,בוצע 17.8.26. נוסח הציטוטים מהמסמך של העמוד הזה.,,
עמוד · השיטה,R1-03,MTH-07,—,,,,בוצע,—,ברור,סטודיו נשימה מעגלית + קישור /learning/,SECTION 08 · SECTION 13,חסר שם הסטודיו; «לימוד והכשרה» הצביע ל-/lessons/.,SECTION 08 כולל הסטודיו. SECTION 13 → /learning/.,הדבקה מילה-במילה.,method-defaults.php SECTION 08 · 13,,,בוצע 17.8.26.,,
עמוד · השיטה,R1-03,MTH-08,—,,,,בוצע,—,ברור,CTA ל-/contact/ + טקסט SECTION 14,SECTION 01 · SECTION 14,חסרו פסקאות האמצע של SECTION 14.,[לתיאום שיחת היכרות](/contact) + שלושת בלוקי SECTION 14.,cta_url=/contact/ וגוף מלא.,method-defaults.php phero + cta,,,בוצע 17.8.26.,,
עמוד · שיעורי דיג'רידו,R1-04,LSN-01,בתמונת ההירו (ובתמונה ליד «מה זה ללמוד») אין קובץ במסמך. בחרי מה לעשות.,,,,ממתין לאייל,אייל,לא ברור,תמונות העמוד,SECTION 01 · SECTION 02,המסמך מבקש תמונת סטודיו / איור בלי לציין קובץ. כרגע נשארו תמונות שכבר היו באתר.,להשאיר / להחליף (קישור או שם קובץ במילוי) / בלי תמונה.,לפי הבחירה.,lessons-defaults.php phero + split,http://eyalamit-co-il-2026.s887.upress.link/lessons/,"להשאיר את התמונות הקיימות. להחליף — הדביקו קישור או שם קובץ בעמודת מילוי. בלי תמונה — הטקסט נשאר, התמונות יורדות.",מדיה בלי קובץ מאייל = לא ברור. לא הומצאה תמונה חדשה.,,
עמוד · שיעורי דיג'רידו,R1-04,LSN-02,בסקשן «איך נראים השיעורים בפועל» המסמך מבקש וידאו בלי קובץ. הדביקו קישור או אמרו שאין וידאו.,,,,ממתין לאייל,אייל,לא ברור,וידאו השיעורים בפועל,SECTION 04,"DEV NOTES: טקסט + וידאו, בלי שם קובץ. לא רונדר רכיב וידאו (אין תוכן = אין רכיב).","קישור YouTube/Vimeo או קובץ, או «בלי וידאו».",שיבוץ הווידאו או השארת טקסט בלבד.,lessons-defaults.php SECTION 04,http://eyalamit-co-il-2026.s887.upress.link/lessons/,יש וידאו — הדביקו קישור או שם קובץ בעמודת מילוי. אין וידאו — הטקסט נשאר כמו שהוא.,לא הוצג placeholder. הטקסט של SECTION 04 כן הודבק.,,
עמוד · שיעורי דיג'רידו,R1-04,LSN-03,—,,,,בוצע,—,ברור,סדר 01–10 + הירו בלי em + הסרת פסקת פתיחה שהומצאה ב-02,SECTION 01–10,סדר 05 לפני 04; כותרת הירו עם em שהומצא; פסקה ראשונה ב-02 אינה במסמך.,"SECTION 01–10 ככתבם, H1 בלי em, בלי פסקת הפתיחה שהומצאה.",הדבקה מילה-במילה בסדר המסמך.,lessons-defaults.php,,,בוצע 18.8.26.,,
עמוד · שיעורי דיג'רידו,R1-04,LSN-04,—,,,,בוצע,—,ברור,למי זה מתאים — רשימה כתובה,SECTION 06,כרטיסי .reveals עם כותרות שהומצאו + פסקת עודף.,שש הפסקאות מ-SECTION 06.,החלפה לרשימה כתובה. בלי .reveals.,lessons-defaults.php SECTION 06,,,בוצע 18.8.26.,,
עמוד · שיעורי דיג'רידו,R1-04,LSN-05,—,,,,בוצע,—,ברור,שאלות נפוצות — 8 מהמסמך,SECTION 09,אקורדיון CPT (faqblock cats:lessons) במקום 8 השאלות של העמוד.,שמונה השאלות מ-SECTION 09.,"faq-inline, בלי לגעת ב-block-faq-list.php.",lessons-defaults.php SECTION 09,,,בוצע 18.8.26.,,
עמוד · שיעורי דיג'רידו,R1-04,LSN-06,—,,,,בוצע,—,ברור,קישורי פייסבוק על תשעה ממליצים,SECTION 08,שמות בלי href.,תשע הכתובות מ-SECTION 08.,href על כל שם.,lessons-defaults.php SECTION 08,,,בוצע 18.8.26.,,
עמוד · שיעורי דיג'רידו,R1-04,LSN-07,—,,,,בוצע,—,ברור,ניתוב /didgeridoo-treatment → /treatment/ + קישורי method ככתבם,SECTION 01 · 03 · 07 · 09,md מצביע ל-/didgeridoo-treatment שמתפנה ל-/treatment/ בסטייג'ינג. מוקש היה עם href שהומצא.,/treatment/ כמו ריברסינג/מוקש. [cbDIDG](/method) ו-[שיטת cbDIDG](/method) ככתבם. מוקש בלי href.,"ניתוב קנוני, לא ניסוח חדש.",lessons-defaults.php,,,בוצע 18.8.26.,,
עמוד · שיעורי דיג'רידו,R1-04,LSN-08,—,,,,בוצע,—,ברור,CTA בלי כותרת שהומצאה,SECTION 10,h2 «בואו לנסות» אינו במסמך.,פסקה + כפתור [לתיאום שיעור ראשון](/contact).,cta בלי title.,lessons-defaults.php SECTION 10,,,בוצע 18.8.26.,,
עמוד · שיעורי דיג'רידו,R1-04,LSN-09,בשאלת הריון יש קישור «קראו עוד» שמוביל ל-404. הדביקו כתובת חיה או אמרו להוריד את הקישור.,,,,ממתין לאייל,אייל,לא ברור,קישור מאמר הריון,SECTION 09,/blog/pregnancy-didgeridoo הוא 404 בסטייג'ינג ובייצור. אין פוסט חי תואם ב-REST.,"URL חי, או «להוריד את הקישור». הטקסט «לא מומלץ» כבר באתר.",לפי המילוי או הבחירה.,lessons-defaults.php SECTION 09 FAQ הריון,http://eyalamit-co-il-2026.s887.upress.link/lessons/,יש כתובת — הדביקו בעמודת מילוי. להוריד את הקישור — נשאר «לא מומלץ» בלי «קראו עוד».,לא הומצא URL. ה-href ל-404 לא שודר.,,
עמוד · סאונד הילינג,R1-05,SH-01,בתמונת ההירו (ובתמונה ליד «מה זה סאונד הילינג») אין קובץ במסמך. בחרי מה לעשות.,,,,ממתין לאייל,אייל,לא ברור,תמונות העמוד,SECTION 01 · SECTION 03 · SECTION 05,המסמך מבקש תמונת סטודיו/טיפי בלי לציין קובץ. כרגע נשארו תמונות שכבר היו באתר (הירו + ספליט). רצועת bleed ירדה כי אינה במסמך.,להשאיר / להחליף (קישור או שם קובץ במילוי) / בלי תמונה.,לפי הבחירה.,sound-healing-defaults.php phero + split,http://eyalamit-co-il-2026.s887.upress.link/sound-healing/,"להשאיר את התמונות הקיימות. להחליף — הדביקו קישור או שם קובץ בעמודת מילוי. בלי תמונה — הטקסט נשאר, התמונות יורדות.",מדיה בלי קובץ מאייל = לא ברור. לא הומצאה תמונה חדשה.,,
עמוד · סאונד הילינג,R1-05,SH-02,בסקשן «איך זה עובד» המסמך מציע וידאו בלי קובץ. הדביקו קישור או אמרו שאין וידאו.,,,,ממתין לאייל,אייל,לא ברור,וידאו המרחב,SECTION 05,"DEV NOTES: ניתן לשלב תמונות או וידאו קצר, בלי שם קובץ. לא רונדר רכיב וידאו (אין תוכן = אין רכיב).","קישור YouTube/Vimeo או קובץ, או «בלי וידאו».",שיבוץ הווידאו או השארת טקסט בלבד.,sound-healing-defaults.php SECTION 05,http://eyalamit-co-il-2026.s887.upress.link/sound-healing/,יש וידאו — הדביקו קישור או שם קובץ בעמודת מילוי. אין וידאו — הטקסט נשאר כמו שהוא.,לא הוצג placeholder. הטקסט של SECTION 05 כן הודבק כפרוזה.,,
עמוד · סאונד הילינג,R1-05,SH-03,—,,,,בוצע,—,ברור,סדר 01–10 + הירו בלי em + הסרת bleed/steps/פסקה שהומצאה,SECTION 01–10,H1 עם em; פסקת פתיחה ב-03 שהומצאה; SECTION 05 פוצל ל-bleed+steps+מבנה-המפגש אחרי FAQ.,"SECTION 01–10 ככתבם, H1 בלי em, SECTION 05 כפרוזה אחת.",הדבקה מילה-במילה בסדר המסמך.,sound-healing-defaults.php,,,בוצע 18.8.26.,,
עמוד · סאונד הילינג,R1-05,SH-04,—,,,,בוצע,—,ברור,למי זה מתאים — רשימה כתובה,SECTION 07,כרטיסי .reveals עם כותרות שהומצאו + כותרת «ועוד למי זה מתאים».,שמונה הפסקאות מ-SECTION 07 כולל קישור /lessons/.,החלפה לרשימה כתובה. בלי .reveals.,sound-healing-defaults.php SECTION 07,,,בוצע 18.8.26.,,
עמוד · סאונד הילינג,R1-05,SH-05,—,,,,בוצע,—,ברור,שאלות נפוצות — 8 מהמסמך,SECTION 08,אקורדיון CPT (faqblock cats:sound-healing) במקום 8 השאלות של העמוד.,שמונה השאלות מ-SECTION 08 + קישור לדף FAQ המלא.,"faq-inline, בלי לגעת ב-block-faq-list.php.",sound-healing-defaults.php SECTION 08,,,בוצע 18.8.26.,,
עמוד · סאונד הילינג,R1-05,SH-06,—,,,,בוצע,—,ברור,קישורי פייסבוק על שמונה ממליצים + קישור /testimonials/,SECTION 09,שמות בלי href. חסר «לכל ההמלצות על אייל עמית».,שמונה הכתובות מ-SECTION 09 + קישור /testimonials/ ככתבו.,href על כל שם + פסקת קישור אחרי הקרוסלה.,sound-healing-defaults.php SECTION 09,,,בוצע 18.8.26.,,
עמוד · סאונד הילינג,R1-05,SH-07,—,,,,בוצע,—,ברור,ניתוב /method-cbdidg → /method/ + מוקש בלי href,SECTION 04 · 06 · 08,md מצביע ל-/method-cbdidg ש-404. מוקש היה עם href שהומצא.,/method/ כמו ריברסינג. מוקש דהימן כטקסט. /treatment/ /lessons/ /faq/ /contact/ ככתבם.,"ניתוב קנוני, לא ניסוח חדש.",sound-healing-defaults.php,,,בוצע 18.8.26.,,
עמוד · סאונד הילינג,R1-05,SH-08,—,,,,בוצע,—,ברור,CTA סיום — כותרת מהמסמך + כפתור יצירת קשר,SECTION 10,כפתור החי היה «לתיאום שיחת היכרות» במקום «יצירת קשר».,כותרת «רוצים להגיע למפגש?» + שלוש פסקאות + [יצירת קשר](/contact).,cta_label=יצירת קשר. בלי כפתור WhatsApp (אין מספר במסמך).,sound-healing-defaults.php SECTION 10,,,בוצע 18.8.26.,,
עמוד · לימוד והכשרה,R1-06,LRN-01,—,,,,הוקפא,—,לא ברור,אין חומר מאייל לעמוד ה-hub,—,"אין תיקייה ב-content 13.8.26, אין סקירה לימוד, החי הוא טיוטת צוות ב-learning-defaults.php. בלי סקירה אין אין-הערה=מאושר.",אין. לא ממציאים עותק hub.,אין בנייה. העמוד מוקפא עד שיהיה מקור מצוטט מאייל.,learning-defaults.php,http://eyalamit-co-il-2026.s887.upress.link/learning/,—,"פאזה א׳ 18.8.26. HTTP 200. חי=defaults. אזכורי /learning באודות ובשיטה הם קישורים לעמודים אחרים, לא בייטים ל-hub. ילדים R1-07/08/09 מחוץ לסקואופ.",,
עמוד · עמוד קטלוג ראשי,R1-10,SHP-01,בתמונת הרקע של ההירו (ובתמונה ליד «מי בונה את הכלים») אין קובץ במסמך. בחרי מה לעשות.,,,,ממתין לאייל,אייל,לא ברור,תמונות העמוד,SECTION 01 · SECTION 02,"DEV NOTES מבקשים תמונת רקע של כלי בעבודת יד, ואפשרות לתמונה של אייל בסדנה, בלי שם קובץ. החי ב-/shop/ בלי תמונות.",בלי תמונה / להחליף (קישור או שם קובץ במילוי).,לפי הבחירה. הטקסט מ-SECTION 01–02 מודבק בנפרד (SHP-03).,shop-defaults.php phero + SECTION 02,http://eyalamit-co-il-2026.s887.upress.link/shop/,"בלי תמונה — הטקסט נשאר, אין רקע ואין תמונת סדנה (זה המצב החי עכשיו). להחליף — הדביקו קישור או שם קובץ בעמודת מילוי.",מדיה בלי קובץ מאייל = לא ברור. לא הומצאה תמונה (לא eyal-workshop.jpg מ-R1-12). פאזה א׳ 18.8.26.,,
עמוד · עמוד קטלוג ראשי,R1-10,SHP-02,ליד תיקים וסטנדים המסמך מציע תמונות קטנות בלי קובץ. הדביקו קבצים או אמרו בלי תמונות.,,,,ממתין לאייל,אייל,לא ברור,תמונות אביזרים,SECTION 07,"DEV NOTES: אפשר לשלב תמונות קטנות ליד כל פריט, בלי שם קובץ. לא רונדר רכיב תמונה (אין תוכן = אין רכיב).","קבצים/קישורים, או «בלי תמונות».",שיבוץ התמונות או השארת הרשימה כטקסט בלבד.,shop-defaults.php SECTION 07,http://eyalamit-co-il-2026.s887.upress.link/shop/,בלי תמונות — נשארים שמות הפריטים והקישורים כמו במסמך. יש תמונות — הדביקו קישורים או שמות קבצים בעמודת מילוי.,לא הוצג placeholder. טקסט SECTION 07 מודבק ב-SHP-03. פאזה א׳ 18.8.26.,,
עמוד · עמוד קטלוג ראשי,R1-10,SHP-03,—,,,,בוצע,—,ברור,סדר 01–10 + הירו בלי em + הסרת גריד/מחירים שהומצאו,SECTION 01–10,"החי הוא קטלוג bookcard: תג «חנות», H1 «כלים ואביזרים לדיג'רידו», תת שהומצא, 5 כרטיסים עם מחיר לפי התאמה כולל סטנד רצפתי. אפס מ-10 הסקשנים.","SECTION 01–07 ו-10 ככתבם. H1: כלי דיג'רידו למכירה - כלים בעבודת יד. בלי em, בלי מחירים, בלי כרטיס סטנד רצפתי. ארבעה CTA ל-/contact. קישורים ככתבם כולל /instruments.",הדבקה מילה-במילה בסדר המסמך במקום הגריד. לא להעתיק מ-didgeridoos-defaults.php.,shop-defaults.php,,,בוצע 18.8.26 ב-shop-defaults.php בלבד. SHP-01/02 מדיה לאייל.,,
עמוד · עמוד קטלוג ראשי,R1-10,SHP-04,—,,,,בוצע,—,ברור,שאלות נפוצות — 5 מהמסמך,SECTION 08,אין FAQ ב-/shop/. ב-/didgeridoos/ (מחוץ לסקואופ) יש faqblock CPT — לא להעתיק.,חמש השאלות מ-SECTION 08 שורות 330–364.,"faq-inline, בלי לגעת ב-block-faq-list.php.",shop-defaults.php SECTION 08,,,בוצע 18.8.26 ב-shop-defaults.php בלבד. SHP-01/02 מדיה לאייל.,,
עמוד · עמוד קטלוג ראשי,R1-10,SHP-05,—,,,,בוצע,—,ברור,קישורי פייסבוק על שלושה ממליצים,SECTION 09,אין המלצות ב-/shop/ החי.,שירי אלקבץ · רותי שליט · אלון גרזון רז + שלוש הכתובות מ-SECTION 09 + פסקת /treatment.,הדבקה מילה-במילה. href על כל שם/קישור ככתבו.,shop-defaults.php SECTION 09,,,בוצע 18.8.26 ב-shop-defaults.php בלבד. SHP-01/02 מדיה לאייל.,,
עמוד · ספרים,R1-16,BK-01,—,,,,בוצע,—,ברור,הסרת כותרות ו-chap שהומצאו,SECTION 03 · 03.5 · 04 · 08 · 09 · 11 · 12,H2 «מוזה הוצאה לאור» על הפתיח; H2 «על אייל עמית»; H2 «סגירת עמוד»; chap-ים «פתיחה» / «מכירה ישירה» / «חבילה» / «שלושה עולמות» / «הערת משלוח / רכישה» / «סיום» — אין להם ### כותרת במסמך (חוץ מ-04/08/09).,"גופי 03/03.5/04/08/09/11/12 ככתבם. H2 רק מ-### כותרת: «למה את הספרים של מוזה תמצאו כאן» · «חבילת 3 הספרים של אייל עמית» · «שלושה ספרים, שלושה עולמות». H1 נשאר «מוזה הוצאה לאור».",לרוקן title/chap בבלוקים בלי ### כותרת. לא לשכתב גופים — כבר תואמים.,muzza-defaults.php phero + prose 03/03.5/04/08/09/11/12,http://eyalamit-co-il-2026.s887.upress.link/books/,,בוצע 18.8.26 ב-muzza-defaults.php בלבד. מדיה BK-04/05/06 לא נגעו.,,
